pays,statut,continent,population,id_pays
Afghanistan,Developing,Asie,33736494,1
Afghanistan,Developing,Asie,327582,2
Afghanistan,Developing,Asie,31731688,3
Afghanistan,Developing,Asie,3696958,4
Afghanistan,Developing,Asie,2978599,5
Afghanistan,Developing,Asie,2883167,6
Afghanistan,Developing,Asie,284331,7
Afghanistan,Developing,Asie,2729431,8
Afghanistan,Developing,Asie,26616792,9
Afghanistan,Developing,Asie,2589345,10
Afghanistan,Developing,Asie,257798,11
Afghanistan,Developing,Asie,24118979,12
Afghanistan,Developing,Asie,2364851,13
Afghanistan,Developing,Asie,21979923,14
Afghanistan,Developing,Asie,2966463,15
Afghanistan,Developing,Asie,293756,16
Albania,Developing,Europe,28873,17
Albania,Developing,Europe,288914,18
Albania,Developing,Europe,289592,19
Albania,Developing,Europe,2941,20
Albania,Developing,Europe,295195,21
Albania,Developing,Europe,291321,22
Albania,Developing,Europe,2927519,23
Albania,Developing,Europe,2947314,24
Albania,Developing,Europe,29717,25
Albania,Developing,Europe,2992547,26
Albania,Developing,Europe,311487,27
Albania,Developing,Europe,326939,28
Albania,Developing,Europe,339616,29
Albania,Developing,Europe,3511,30
Albania,Developing,Europe,36173,31
Albania,Developing,Europe,38927,32
Algeria,Developing,Afrique,39871528,33
Algeria,Developing,Afrique,39113313,34
Algeria,Developing,Afrique,38338562,35
Algeria,Developing,Afrique,37565847,36
Algeria,Developing,Afrique,36819558,37
Algeria,Developing,Afrique,36117637,38
Algeria,Developing,Afrique,3546576,39
Algeria,Developing,Afrique,3486715,40
Algeria,Developing,Afrique,34376,41
Algeria,Developing,Afrique,33777915,42
Algeria,Developing,Afrique,33288437,43
Algeria,Developing,Afrique,3283196,44
Algeria,Developing,Afrique,3243514,45
Algeria,Developing,Afrique,3199546,46
Algeria,Developing,Afrique,31592153,47
Algeria,Developing,Afrique,3118366,48
Angola,Developing,Afrique,2785935,49
Angola,Developing,Afrique,2692466,50
Angola,Developing,Afrique,2599834,51
Angola,Developing,Afrique,259615,52
Angola,Developing,Afrique,24218565,53
Angola,Developing,Afrique,23369131,54
Angola,Developing,Afrique,22549547,55
Angola,Developing,Afrique,2175942,56
Angola,Developing,Afrique,2997687,57
Angola,Developing,Afrique,2262399,58
Angola,Developing,Afrique,19552542,59
Angola,Developing,Afrique,18865716,60
Angola,Developing,Afrique,1823369,61
Angola,Developing,Afrique,17572649,62
Angola,Developing,Afrique,16983266,63
Angola,Developing,Afrique,1644924,64
Antigua and Barbuda,Developing,Amérique du Nord,1383743,65
Argentina,Developing,Amérique du Sud,43417765,66
Argentina,Developing,Amérique du Sud,42981515,67
Argentina,Developing,Amérique du Sud,42539925,68
Argentina,Developing,Amérique du Sud,4296739,69
Argentina,Developing,Amérique du Sud,41656879,70
Argentina,Developing,Amérique du Sud,41223889,71
Argentina,Developing,Amérique du Sud,479947,72
Argentina,Developing,Amérique du Sud,4382389,73
Argentina,Developing,Amérique du Sud,3997224,74
Argentina,Developing,Amérique du Sud,3955889,75
Argentina,Developing,Amérique du Sud,39145488,76
Argentina,Developing,Amérique du Sud,38728696,77
Argentina,Developing,Amérique du Sud,3839379,78
Argentina,Developing,Amérique du Sud,3788937,79
Argentina,Developing,Amérique du Sud,3747159,80
Argentina,Developing,Amérique du Sud,3757452,81
Armenia,Developing,Asie,291695,82
Armenia,Developing,Asie,29622,83
Armenia,Developing,Asie,289359,84
Armenia,Developing,Asie,2881922,85
Armenia,Developing,Asie,2875581,86
Armenia,Developing,Asie,2877311,87
Armenia,Developing,Asie,2888584,88
Armenia,Developing,Asie,29822,89
Armenia,Developing,Asie,293356,90
Armenia,Developing,Asie,29585,91
Armenia,Developing,Asie,2981259,92
Armenia,Developing,Asie,3612,93
Armenia,Developing,Asie,31786,94
Armenia,Developing,Asie,333897,95
Armenia,Developing,Asie,35655,96
Armenia,Developing,Asie,369588,97
Australia,Developed,Océanie,23789338,98
Australia,Developed,Océanie,2346694,99
Australia,Developed,Océanie,23117353,100
Australia,Developed,Océanie,22728254,101
Australia,Developed,Océanie,223424,102
Australia,Developed,Océanie,223175,103
Australia,Developed,Océanie,216917,104
Australia,Developed,Océanie,212492,105
Australia,Developed,Océanie,28276,106
Australia,Developed,Océanie,26979,107
Australia,Developed,Océanie,23948,108
Australia,Developed,Océanie,21274,109
Australia,Developed,Océanie,198954,110
Australia,Developed,Océanie,196514,111
Australia,Developed,Océanie,19413,112
Australia,Developed,Océanie,19153,113
Austria,Developed,Europe,8633169,114
Austria,Developed,Europe,8541575,115
Austria,Developed,Europe,8479375,116
Austria,Developed,Europe,8429991,117
Austria,Developed,Europe,8391643,118
Austria,Developed,Europe,836344,119
Austria,Developed,Europe,8343323,120
Austria,Developed,Europe,8321496,121
Austria,Developed,Europe,8295487,122
Austria,Developed,Europe,8268641,123
Austria,Developed,Europe,8227829,124
Austria,Developed,Europe,8171966,125
Austria,Developed,Europe,8121423,126
Austria,Developed,Europe,881957,127
Austria,Developed,Europe,842293,128
Austria,Developed,Europe,811566,129
Azerbaijan,Developing,Asie,9649341,130
Azerbaijan,Developing,Asie,953579,131
Azerbaijan,Developing,Asie,941681,132
Azerbaijan,Developing,Asie,9295784,133
Azerbaijan,Developing,Asie,917382,134
Azerbaijan,Developing,Asie,954332,135
Azerbaijan,Developing,Asie,8947243,136
Azerbaijan,Developing,Asie,87634,137
Azerbaijan,Developing,Asie,85813,138
Azerbaijan,Developing,Asie,848455,139
Azerbaijan,Developing,Asie,839185,140
Azerbaijan,Developing,Asie,8365,141
Azerbaijan,Developing,Asie,82341,142
Azerbaijan,Developing,Asie,817195,143
Azerbaijan,Developing,Asie,81112,144
Azerbaijan,Developing,Asie,8486,145
Bahamas,Developing,Amérique du Nord,1383743,146
Bahrain,Developing,Asie,1383743,147
Bangladesh,Developing,Asie,1612886,148
Bangladesh,Developing,Asie,15945279,149
Bangladesh,Developing,Asie,157571292,150
Bangladesh,Developing,Asie,15572753,151
Bangladesh,Developing,Asie,153911916,152
Bangladesh,Developing,Asie,15214912,153
Bangladesh,Developing,Asie,1545478,154
Bangladesh,Developing,Asie,14885814,155
Bangladesh,Developing,Asie,147139191,156
Bangladesh,Developing,Asie,1453684,157
Bangladesh,Developing,Asie,14343111,158
Bangladesh,Developing,Asie,14137489,159
Bangladesh,Developing,Asie,139191,160
Bangladesh,Developing,Asie,1366667,161
Bangladesh,Developing,Asie,1341716,162
Bangladesh,Developing,Asie,131581243,163
Barbados,Developing,Amérique du Nord,1383743,164
Belarus,Developing,Europe,9489616,165
Belarus,Developing,Europe,9474511,166
Belarus,Developing,Europe,9465997,167
Belarus,Developing,Europe,9464495,168
Belarus,Developing,Europe,9473172,169
Belarus,Developing,Europe,949583,170
Belarus,Developing,Europe,956765,171
Belarus,Developing,Europe,9527985,172
Belarus,Developing,Europe,956953,173
Belarus,Developing,Europe,964924,174
Belarus,Developing,Europe,9663915,175
Belarus,Developing,Europe,973146,176
Belarus,Developing,Europe,9796749,177
Belarus,Developing,Europe,9865548,178
Belarus,Developing,Europe,9928549,179
Belarus,Developing,Europe,997961,180
Belgium,Developed,Europe,11274196,181
Belgium,Developed,Europe,112957,182
Belgium,Developed,Europe,11182817,183
Belgium,Developed,Europe,11128246,184
Belgium,Developed,Europe,1147744,185
Belgium,Developed,Europe,1895586,186
Belgium,Developed,Europe,1796493,187
Belgium,Developed,Europe,179973,188
Belgium,Developed,Europe,16257,189
Belgium,Developed,Europe,1547958,190
Belgium,Developed,Europe,1478617,191
Belgium,Developed,Europe,1421137,192
Belgium,Developed,Europe,1376133,193
Belgium,Developed,Europe,1332785,194
Belgium,Developed,Europe,128657,195
Belgium,Developed,Europe,125125,196
Belize,Developing,Amérique du Nord,359288,197
Belize,Developing,Amérique du Nord,351694,198
Belize,Developing,Amérique du Nord,344181,199
Belize,Developing,Amérique du Nord,33671,200
Belize,Developing,Amérique du Nord,329192,201
Belize,Developing,Amérique du Nord,32168,202
Belize,Developing,Amérique du Nord,313929,203
Belize,Developing,Amérique du Nord,36165,204
Belize,Developing,Amérique du Nord,29847,205
Belize,Developing,Amérique du Nord,29747,206
Belize,Developing,Amérique du Nord,283277,207
Belize,Developing,Amérique du Nord,27689,208
Belize,Developing,Amérique du Nord,26913,209
Belize,Developing,Amérique du Nord,26226,210
Belize,Developing,Amérique du Nord,254984,211
Belize,Developing,Amérique du Nord,247315,212
Benin,Developing,Afrique,1575952,213
Benin,Developing,Afrique,1286712,214
Benin,Developing,Afrique,14451,215
Benin,Developing,Afrique,972916,216
Benin,Developing,Afrique,94682,217
Benin,Developing,Afrique,9199259,218
Benin,Developing,Afrique,894476,219
Benin,Developing,Afrique,8696916,220
Benin,Developing,Afrique,8454791,221
Benin,Developing,Afrique,8216896,222
Benin,Developing,Afrique,7982225,223
Benin,Developing,Afrique,7754,224
Benin,Developing,Afrique,752555,225
Benin,Developing,Afrique,7295394,226
Benin,Developing,Afrique,776733,227
Benin,Developing,Afrique,6865951,228
Bhutan,Developing,Asie,787386,229
Bhutan,Developing,Asie,776448,230
Bhutan,Developing,Asie,764961,231
Bhutan,Developing,Asie,752967,232
Bhutan,Developing,Asie,7451,233
Bhutan,Developing,Asie,727641,234
Bhutan,Developing,Asie,714458,235
Bhutan,Developing,Asie,795,236
Bhutan,Developing,Asie,686958,237
Bhutan,Developing,Asie,672228,238
Bhutan,Developing,Asie,656639,239
Bhutan,Developing,Asie,64282,240
Bhutan,Developing,Asie,623434,241
Bhutan,Developing,Asie,66399,242
Bhutan,Developing,Asie,5896,243
Bhutan,Developing,Asie,573416,244
Bolivia,Developing,Amérique du Sud,1383743,245
Bosnia and Herzegovina,Developing,Europe,3535961,246
Bosnia and Herzegovina,Developing,Europe,35662,247
Bosnia and Herzegovina,Developing,Europe,364999,248
Bosnia and Herzegovina,Developing,Europe,36482,249
Bosnia and Herzegovina,Developing,Europe,3688865,250
