imc,maigreur_1_19_ans,maigreur_5_9_ans,vaccination_hepatite_b,vaccination_polio,vaccination_diphterie,cas_rougeole,id_sante
19.1,17.2,17.3,65.0,6.0,65.0,1154,1
18.6,17.5,17.5,62.0,58.0,62.0,492,2
18.1,17.7,17.7,64.0,62.0,64.0,430,3
17.6,17.9,18.0,67.0,67.0,67.0,2787,4
17.2,18.2,18.2,68.0,68.0,68.0,3013,5
16.7,18.4,18.4,66.0,66.0,66.0,1989,6
16.2,18.6,18.7,63.0,63.0,63.0,2861,7
15.7,18.8,18.9,64.0,64.0,64.0,1599,8
15.2,19.0,19.1,63.0,63.0,63.0,1141,9
14.7,19.2,19.3,64.0,58.0,58.0,1990,10
14.2,19.3,19.5,66.0,58.0,58.0,1296,11
13.8,19.5,19.7,67.0,5.0,5.0,466,12
13.4,19.7,19.9,65.0,41.0,41.0,798,13
13.0,19.9,2.2,64.0,36.0,36.0,2486,14
12.6,2.1,2.4,63.0,35.0,33.0,8762,15
12.2,2.3,2.5,62.0,24.0,24.0,6532,16
58.0,1.2,1.3,99.0,99.0,99.0,0,17
57.2,1.2,1.3,98.0,98.0,98.0,0,18
56.5,1.3,1.4,99.0,99.0,99.0,0,19
55.8,1.3,1.4,99.0,99.0,99.0,9,20
55.1,1.4,1.5,99.0,99.0,99.0,28,21
54.3,1.4,1.5,99.0,99.0,99.0,10,22
53.5,1.5,1.6,98.0,98.0,98.0,0,23
52.6,1.6,1.6,99.0,99.0,99.0,0,24
51.7,1.6,1.7,98.0,99.0,98.0,22,25
5.8,1.7,1.8,98.0,97.0,97.0,68,26
49.9,1.8,1.8,98.0,97.0,98.0,6,27
48.9,1.8,1.9,99.0,98.0,97.0,7,28
47.9,1.9,2.0,97.0,97.0,97.0,8,29
46.9,2.0,2.1,96.0,98.0,98.0,16,30
46.0,2.1,2.1,96.0,97.0,97.0,18,31
45.0,2.1,2.2,96.0,97.0,97.0,662,32
59.5,6.0,5.8,95.0,95.0,95.0,63,33
58.4,6.0,5.8,95.0,95.0,95.0,0,34
57.2,5.9,5.8,95.0,95.0,95.0,25,35
56.1,5.9,5.8,95.0,95.0,95.0,18,36
55.0,5.9,5.8,95.0,95.0,95.0,112,37
53.9,5.9,5.8,95.0,95.0,95.0,103,38
52.8,6.0,5.9,94.0,94.0,95.0,107,39
51.8,6.0,5.9,91.0,92.0,93.0,217,40
5.8,6.0,5.9,9.0,95.0,95.0,0,41
49.8,6.1,6.0,8.0,95.0,95.0,944,42
48.9,6.1,6.0,83.0,88.0,88.0,2302,43
47.9,6.2,6.1,81.0,86.0,86.0,3289,44
47.0,6.3,6.1,81.0,87.0,87.0,15374,45
46.1,6.3,6.2,81.0,86.0,86.0,5862,46
45.3,6.4,6.3,81.0,89.0,89.0,2686,47
44.4,6.5,6.4,81.0,86.0,86.0,0,48
23.3,8.3,8.2,64.0,7.0,64.0,118,49
22.7,8.5,8.3,64.0,68.0,64.0,11699,50
22.1,8.6,8.5,77.0,67.0,77.0,8523,51
21.5,8.8,8.6,75.0,75.0,75.0,4458,52
21.0,8.9,8.8,72.0,73.0,71.0,1449,53
2.4,9.1,9.0,77.0,81.0,77.0,1190,54
19.8,9.3,9.2,61.0,63.0,6.0,2807,55
19.3,9.5,9.4,69.0,65.0,69.0,265,56
18.8,9.6,9.6,73.0,75.0,73.0,1014,57
18.2,9.8,9.7,73.0,36.0,34.0,765,58
17.7,1.0,9.9,73.0,39.0,38.0,258,59
17.2,1.2,1.1,73.0,4.0,4.0,29,60
16.8,1.4,1.3,73.0,4.0,4.0,1196,61
16.3,1.5,1.5,73.0,37.0,41.0,11945,62
15.8,1.7,1.7,73.0,41.0,38.0,9046,63
15.4,1.9,1.9,73.0,3.0,28.0,2219,64
47.7,3.3,3.3,99.0,86.0,99.0,0,65
47.0,3.3,3.3,99.0,96.0,99.0,0,66
46.4,3.3,3.3,99.0,98.0,99.0,0,67
45.7,3.3,3.3,98.0,97.0,98.0,0,68
45.1,3.3,3.3,99.0,99.0,99.0,0,69
44.4,3.3,3.3,98.0,99.0,98.0,0,70
43.8,3.4,3.3,98.0,98.0,99.0,0,71
43.2,3.4,3.3,98.0,99.0,99.0,0,72
42.6,3.4,3.3,97.0,98.0,99.0,0,73
42.0,3.4,3.4,99.0,99.0,99.0,0,74
41.4,3.5,3.4,99.0,98.0,99.0,0,75
4.8,3.5,3.4,97.0,97.0,97.0,0,76
4.1,3.5,3.5,99.0,99.0,99.0,0,77
39.5,3.6,3.5,99.0,93.0,98.0,0,78
38.9,3.6,3.5,96.0,99.0,97.0,0,79
38.2,3.7,3.6,96.0,96.0,95.0,0,80
62.8,1.0,0.9,94.0,93.0,94.0,0,81
62.2,1.0,0.9,94.0,92.0,94.0,1,82
61.6,1.0,0.9,94.0,99.0,94.0,0,83
61.0,1.0,0.9,91.0,99.0,91.0,2,84
6.4,1.0,0.9,91.0,93.0,91.0,3,85
59.8,1.0,0.9,94.0,95.0,94.0,17,86
59.2,1.0,0.9,94.0,97.0,94.0,3,87
58.6,1.0,0.9,9.0,94.0,93.0,0,88
58.0,1.1,0.9,85.0,92.0,91.0,0,89
57.5,1.1,0.9,84.0,92.0,91.0,0,90
56.9,1.1,1.0,88.0,95.0,98.0,0,91
56.3,1.1,1.0,81.0,91.0,98.0,0,92
55.7,1.2,1.0,73.0,95.0,96.0,0,93
55.1,1.2,1.0,66.0,94.0,93.0,0,94
54.6,1.2,1.1,66.0,85.0,83.0,0,95
54.0,1.2,1.1,66.0,88.0,83.0,6,96
54.9,2.1,2.2,94.0,96.0,94.0,33,97
54.1,2.1,2.1,93.0,95.0,93.0,13,98
53.3,2.1,2.1,95.0,96.0,95.0,10,99
52.6,2.0,2.1,95.0,96.0,95.0,0,100
51.9,2.0,2.1,95.0,96.0,95.0,0,101
51.2,2.0,2.1,94.0,96.0,94.0,2,102
5.7,2.0,2.1,93.0,94.0,93.0,0,103
5.1,2.0,2.1,89.0,91.0,89.0,0,104
49.7,2.0,2.1,85.0,9.0,88.0,1,105
49.2,2.0,2.1,78.0,87.0,87.0,137,106
48.8,2.0,2.1,91.0,92.0,9.0,2281,107
48.4,2.0,2.1,91.0,93.0,91.0,1783,108
48.1,2.0,2.1,93.0,96.0,94.0,4,109
47.8,2.1,2.1,91.0,96.0,94.0,40,110
47.4,2.1,2.1,69.0,97.0,94.0,69,111
47.1,2.1,2.2,55.0,96.0,93.0,15,112
66.6,0.6,0.6,93.0,93.0,93.0,74,113
66.1,0.6,0.6,91.0,92.0,92.0,340,114
65.5,0.6,0.6,91.0,91.0,91.0,158,115
65.0,0.6,0.6,91.0,92.0,92.0,199,116
64.4,0.6,0.6,92.0,92.0,92.0,190,117
63.9,0.7,0.6,92.0,92.0,92.0,70,118
63.4,0.7,0.6,94.0,92.0,92.0,104,119
62.9,0.7,0.6,94.0,92.0,92.0,65,120
62.5,0.7,0.6,94.0,92.0,92.0,11,121
62.0,0.7,0.6,95.0,92.0,92.0,0,122
61.5,0.7,0.6,95.0,92.0,92.0,10,123
6.9,0.7,0.6,95.0,92.0,92.0,70,124
6.3,0.7,0.7,95.0,92.0,93.0,91,125
59.6,0.7,0.7,95.0,92.0,92.0,32,126
59.0,0.7,0.7,94.0,91.0,92.0,141,127
58.2,0.7,0.7,94.0,9.0,9.0,108,128
57.6,1.9,2.1,93.0,93.0,93.0,309,129
57.1,1.8,2.0,98.0,98.0,98.0,117,130
56.6,1.8,2.0,95.0,95.0,95.0,0,131
56.1,1.8,2.0,92.0,92.0,92.0,36,132
55.7,1.7,2.0,89.0,89.0,89.0,68,133
55.2,1.7,1.9,86.0,86.0,86.0,52,134
54.7,1.7,1.9,83.0,83.0,83.0,49,135
54.2,1.7,1.9,83.0,83.0,83.0,448,136
53.7,1.7,1.9,85.0,85.0,85.0,20,137
53.2,1.7,1.9,83.0,83.0,83.0,23,138
52.7,1.7,1.9,86.0,86.0,86.0,9,139
52.2,1.7,1.9,83.0,83.0,83.0,15,140
51.7,1.7,1.9,83.0,84.0,84.0,90,141
51.2,1.7,1.9,81.0,82.0,83.0,0,142
5.6,1.7,1.9,44.0,83.0,84.0,0,143
5.1,1.7,1.9,33.0,71.0,81.0,0,144
52.5,2.8,2.9,96.0,98.0,96.0,0,145
51.5,2.8,2.9,94.0,97.0,94.0,0,146
5.6,2.8,2.8,93.0,96.0,93.0,164,147
49.7,2.8,2.8,88.0,92.0,89.0,0,148
48.8,2.8,2.9,84.0,91.0,87.0,0,149
48.0,2.8,2.9,8.0,85.0,81.0,0,150
47.3,2.8,2.9,74.0,84.0,81.0,0,151
46.6,2.8,2.9,68.0,85.0,81.0,5,152
45.9,2.8,2.9,62.0,81.0,79.0,0,153
45.3,2.9,2.9,52.0,8.0,78.0,222,154
44.7,2.9,3.0,49.0,79.0,75.0,1238,155
44.2,3.0,3.0,5.0,78.0,77.0,827,156
