indice_revenu,annees_scolarisation,consommation_alcool,depenses_sante_pourcentage,pib_habitant,id_socio
0.479,10.1,0.01,71.27962362,584.25921,1
0.476,10.0,0.01,73.52358168,612.696514,2
0.47,9.9,0.01,73.21924272,631.744976,3
0.463,9.8,0.01,78.1842153,669.959,4
0.454,9.5,0.01,7.097108703,63.537231,5
0.448,9.2,0.01,79.67936736,553.32894,6
0.434,8.9,0.01,56.76221682,445.8932979,7
0.433,8.7,0.03,25.87392536,373.3611163,8
0.415,8.4,0.02,10.91015598,369.835796,9
0.405,8.1,0.03,17.17151751,272.56377,10
0.396,7.9,0.02,1.388647732,25.2941299,11
0.381,6.8,0.02,15.29606643,219.1413528,12
0.373,6.5,0.01,11.08905273,198.7285436,13
0.341,6.2,0.01,16.88735091,187.84595,14
0.34,5.9,0.01,10.5747282,117.49698,15
0.338,5.5,0.01,10.42496,114.56,16
0.762,14.2,4.6,364.9752287,3954.22783,17
0.761,14.2,4.51,428.7490668,4575.763787,18
0.759,14.2,4.76,430.8769785,4414.72314,19
0.752,14.2,5.14,412.4433563,4247.61438,20
0.738,13.3,5.37,437.0621,4437.17868,21
0.725,12.5,5.28,41.82275719,494.358832,22
0.721,12.2,5.79,348.0559517,4114.136545,23
0.713,12.0,5.61,36.62206845,437.539647,24
0.703,11.6,5.58,32.24655228,363.13685,25
0.696,11.4,5.31,3.3021542,35.1293,26
0.685,10.8,5.16,26.99312143,279.142931,27
0.681,10.9,4.54,221.8428,2416.588235,28
0.674,10.7,4.29,14.71928882,189.681557,29
0.67,10.7,3.73,104.5169157,1453.642777,30
0.662,10.6,4.25,96.20557078,1326.97339,31
0.656,10.7,3.66,91.71154052,1175.788981,32
0.743,14.4,3.755,0.0,4132.76292,33
0.741,14.4,0.01,54.2373183,547.8517,34
0.737,14.4,0.53,544.4507432,5471.866766,35
0.732,14.4,0.66,555.9260834,5564.82566,36
0.724,14.0,0.56,509.0020405,5432.2523,37
0.714,13.6,0.45,430.7175861,4463.394675,38
0.705,13.1,0.5,352.0636419,3868.83123,39
0.697,12.6,0.46,43.08717334,495.254866,40
0.69,12.3,0.44,320.3239241,3935.183343,41
0.686,12.3,0.36,270.2401962,3464.6179,42
0.68,12.0,0.5,2.548922758,31.122378,43
0.673,11.7,0.45,220.393699,2598.9823,44
0.663,11.5,0.34,25.0185226,294.33556,45
0.653,11.1,0.36,148.5119843,1774.33673,46
0.644,10.9,0.23,147.9860714,1732.857979,47
0.636,10.7,0.25,154.4559436,1757.17797,48
0.531,11.4,3.755,0.0,3695.793748,49
0.527,11.4,8.33,23.965612,479.31224,50
0.523,11.4,8.1,35.95857279,484.616884,51
0.508,10.3,8.24,256.1225243,4598.249988,52
0.495,9.4,8.06,239.8913921,4299.12889,53
0.488,9.0,7.8,191.6537407,3529.53482,54
0.48,8.5,7.01,212.9229325,3347.84485,55
0.468,8.1,7.07,249.9101958,3868.578883,56
0.454,7.7,6.35,184.8213446,2878.837144,57
0.439,7.2,5.84,25.08688824,262.415149,58
0.426,6.8,5.04,98.19145117,1443.991929,59
0.415,6.4,3.53,8.8667775,141.86844,60
0.406,5.9,3.49,35.93349121,779.468356,61
0.401,5.5,2.82,24.037942,711.181716,62
0.391,5.1,2.58,30.35993647,526.168743,63
0.382,4.6,1.85,15.88149254,555.2969419,64
0.784,13.9,3.755,0.0,13566.9541,65
0.782,13.9,8.56,2422.999774,12888.29667,66
0.781,13.9,8.58,1991.430372,12224.86416,67
0.778,13.8,8.18,2156.229842,12565.44197,68
0.782,14.1,7.84,1810.875316,11929.34991,69
0.783,14.1,7.84,1983.956937,12126.87614,70
0.788,14.2,7.82,149.3587355,1312.46692,71
0.786,14.4,8.27,180.7762695,1473.31923,72
0.781,14.5,8.64,257.9665308,14252.29452,73
0.773,14.7,8.93,216.3146941,12724.39377,74
0.0,0.0,8.15,1455.608186,11371.93895,75
0.0,0.0,7.28,22.86295206,1352.8374,76
0.0,0.0,7.16,1158.065259,9739.82556,77
0.0,0.0,7.21,927.4075855,9386.716452,78
0.0,0.0,7.51,163.7676978,9358.154162,79
0.0,0.0,7.27,1127.74347,9875.161736,80
0.826,17.3,3.755,0.0,13467.1236,81
0.825,17.3,7.93,847.3717463,12245.25645,82
0.823,17.3,8.28,1001.796332,12976.63642,83
0.822,17.2,8.35,1133.558003,12969.7712,84
0.816,17.1,8.11,1504.329462,12726.9836,85
0.802,16.8,8.15,187.610955,1276.265,86
0.794,16.5,8.33,1398.042623,8161.36966,87
0.792,16.3,8.41,1413.73543,8953.359275,88
0.788,16.3,8.16,1105.659031,7193.61764,89
0.782,16.1,7.75,961.1774676,5878.76127,90
0.78,16.3,7.53,96.16653429,576.883829,91
0.775,16.3,7.63,719.3663797,4251.574348,92
0.77,16.4,7.62,57.58467352,333.4376,93
0.776,16.3,7.81,470.1869145,2579.193168,94
0.771,15.6,7.76,123.0128671,717.694674,95
0.764,15.0,7.68,1349.025282,7669.273916,96
0.741,12.7,3.755,0.0,369.654776,97
0.739,12.7,3.91,295.6087143,3994.712355,98
0.736,12.7,3.79,279.4290812,3843.591213,99
0.732,12.7,3.89,274.1526986,3684.8481,100
0.729,12.7,4.09,260.9963826,3526.978143,101
0.72,12.3,4.23,224.3212014,3218.381655,102
0.725,11.9,3.96,201.1855461,2993.832531,103
0.721,12.3,3.96,2.8888979,41.26997,104
0.707,11.7,3.99,44.57219966,3138.8873,105
0.692,11.2,4.01,244.5352767,2158.299,106
0.679,10.9,4.25,20.21822828,1643.758397,107
0.668,10.9,3.81,97.74087744,1191.96192,108
0.657,10.8,3.03,7.341493148,93.1661567,109
0.645,10.8,2.86,57.17810403,783.261699,110
0.644,11.1,2.86,53.19373012,694.435119,111
0.639,11.2,2.9,32.75626853,622.7427477,112
0.937,20.4,3.755,0.0,56554.3876,113
0.936,20.4,9.71,10769.36305,62214.6912,114
0.933,20.3,9.87,11734.85381,67792.3386,115
0.93,20.1,10.03,11714.99858,67677.63477,116
0.927,19.8,10.3,10986.26527,62245.129,117
0.927,19.5,10.52,8875.786493,51874.848,118
0.925,19.1,10.62,7172.275229,42742.99898,119
0.921,19.1,10.76,8547.292357,49664.6854,120
0.918,19.0,10.56,872.5986092,4991.98289,121
0.915,20.3,10.31,6187.062017,36118.28381,122
0.91,20.3,10.3,579.1331637,3416.71483,123
0.908,20.7,9.84,588.568371,3472.37977,124
0.905,20.6,9.97,3829.550928,23465.38559,125
0.902,20.1,9.84,46.3871819,281.81763,126
0.899,20.5,9.53,3064.301144,19517.84168,127
0.897,20.4,10.17,347.18736,2169.921,128
0.892,15.9,3.755,0.0,43665.947,129
0.892,15.9,12.32,8350.193523,51322.63997,130
0.887,15.7,11.82,90.58501176,554.71532,131
0.884,15.7,12.26,7878.372355,48333.57273,132
0.88,15.7,12.04,8272.306757,51126.74139,133
0.872,15.4,12.1,7423.228774,46657.629,134
0.87,15.3,11.3,8053.557638,47654.18721,135
0.864,15.1,12.0,8329.731655,51386.37665,136
0.86,15.2,12.5,7453.8644,46586.6525,137
0.854,15.0,12.4,69.92899358,443.99361,138
0.848,14.9,12.4,5992.588029,38242.4252,139
0.841,14.7,12.1,5316.877456,36693.4262,140
0.837,14.7,12.2,504.4308735,3212.9355,141
0.847,16.1,12.5,3979.057728,26351.37568,142
0.837,15.5,12.4,3582.848308,24489.73553,143
0.833,15.4,13.2,3557.455507,24517.26745,144
0.758,12.7,3.755,0.0,55.31382,145
0.752,12.2,0.01,306.1824313,7891.299776,146
0.745,11.9,2.14,275.6514934,7875.756953,147
0.742,11.8,0.01,285.6103912,7496.335728,148
0.741,11.7,1.98,263.142699,7189.691229,149
0.737,11.7,1.98,246.5686008,5842.85784,150
0.728,11.6,2.1,22.48638351,495.294791,151
0.719,11.6,1.18,206.2616134,5574.6382,152
0.708,11.6,1.02,176.0107106,3851.437869,153
0.682,10.7,0.85,105.6337264,2473.85776,154
0.675,11.2,0.73,81.28883085,1578.4239,155
0.668,11.0,0.62,8.59680496,145.2163,156
0.659,10.8,0.55,42.41491183,883.6439965,157
0.651,10.6,0.55,39.33253687,763.73858,158
0.642,10.4,0.51,4.104190077,73.6838434,159
0.636,10.1,0.65,35.09462644,655.974326,160
0.79,12.6,3.755,0.0,1693.4531885,161
0.789,12.6,9.45,0.0,1693.4531885,162
0.79,12.6,9.42,0.0,1693.4531885,163
0.789,12.6,9.5,0.0,1693.4531885,164
0.788,12.6,9.34,0.0,1693.4531885,165
0.788,12.6,9.19,0.0,1693.4531885,166
0.791,12.6,9.29,0.0,1693.4531885,167
0.791,12.6,10.15,0.0,1693.4531885,168
0.79,12.5,10.75,0.0,1693.4531885,169
0.788,12.4,11.07,0.0,1693.4531885,170
0.786,12.4,10.49,0.0,1693.4531885,171
0.784,12.3,10.1,0.0,1693.4531885,172
0.783,12.2,10.68,0.0,1693.4531885,173
0.781,12.1,10.85,0.0,1693.4531885,174
0.779,12.1,11.64,0.0,1693.4531885,175
0.0,12.0,12.15,0.0,1693.4531885,176
0.823,14.5,3.755,0.0,22688.87824,177
0.82,14.5,1.57,367.2556742,24983.3792,178
0.815,14.5,1.65,3.968695982,251.18329,179
0.812,14.5,1.7,2211.215778,23649.36661,180
0.812,14.4,1.66,197.7734681,2281.1242,181
0.81,14.4,1.93,266.7696122,2722.1389,182
0.814,14.4,1.95,332.9347646,19356.67236,183
0.815,14.4,2.0,231.5478912,2367.56535,184
0.813,14.4,2.0,278.3602806,2977.1153,185
0.81,14.2,2.1,170.7374027,1937.99549,186
0.806,14.0,2.05,1553.468944,17959.17854,187
0.803,13.9,2.16,1380.228095,15846.47641,188
0.798,13.7,2.16,1214.558167,14221.99259,189
0.796,13.5,1.99,106.4303336,1312.33457,190
0.794,13.3,1.95,1150.418063,12868.211,191
0.786,13.2,2.15,167.7270642,13636.34668,192
0.575,10.2,3.755,0.0,121.15812,193
0.57,10.0,0.01,10.44640334,184.56543,194
0.565,10.0,0.01,52.82986467,951.8894535,195
0.557,9.9,0.01,59.2589257,856.342857,196
0.545,9.4,0.01,62.34988484,835.789341,197
0.535,8.9,0.01,62.65945432,757.6717572,198
0.523,8.4,0.01,53.26400378,681.125368,199
0.52,8.6,0.01,42.48865034,615.7775411,200
0.513,8.6,0.01,46.36536703,541.651484,201
0.506,8.4,0.01,42.3304549,494.51466,202
0.499,8.2,0.01,38.05462002,484.155471,203
0.491,8.1,0.01,4.11469667,46.7579167,204
0.484,7.9,0.01,35.48458957,432.7388972,205
0.476,7.7,0.01,0.397228764,4.6135745,206
0.468,7.5,0.01,3.395069781,42.5981152,207
0.459,7.3,0.01,3.69633051,45.63371,208
0.794,15.3,3.755,0.0,15557.8381,209
0.793,15.3,8.82,294.9056584,15359.66971,210
0.792,15.3,8.74,263.0372838,15472.7814,211
0.785,15.3,8.61,260.0043858,15384.8749,212
0.78,15.5,8.51,173.9825629,15534.1574,213
0.781,15.8,8.41,154.9630863,1595.91232,214
0.779,15.5,8.46,327.1618128,16523.32388,215
0.775,15.3,8.95,25.52277112,1657.3228,216
0.771,15.0,8.47,1641.30981,16462.48556,217
0.766,14.8,8.39,181.5000856,15646.5591,218
0.761,14.6,8.01,1311.440423,14223.86576,219
0.757,14.4,7.68,166.0083443,12868.8639,220
0.753,14.2,7.65,13.5139917,1228.5447,221
0.749,14.0,7.59,133.099491,11675.39395,222
0.75,14.0,7.38,138.1664627,11513.87189,223
0.741,14.0,7.43,1140.615754,11568.1111,224
0.798,15.6,3.755,0.0,5949.11677,225
0.796,15.7,13.94,1147.1114,8318.429294,226
0.796,15.7,14.66,1109.854619,7978.825443,227
0.793,15.6,16.35,91.70962117,694.243915,228
0.787,15.5,17.31,846.9113071,6519.71753,229
0.78,15.5,14.44,8.49409518,63.38877,230
0.771,15.4,14.09,434.7985025,5176.172649,231
0.755,15.1,14.67,501.8056141,6376.183153,232
0.739,14.9,14.22,464.077513,4735.484827,233
0.723,14.6,12.6,364.426052,3848.215966,234
0.713,14.4,11.01,45.65007798,3126.71767,235
0.703,14.1,12.05,42.33443901,2378.33927,236
0.695,13.9,11.17,23.83578594,1819.525644,237
0.687,13.6,12.23,145.4233629,1479.383142,238
0.681,13.3,10.74,14.06141699,1244.373185,239
0.675,13.1,12.98,24.24947846,1276.28834,240
